food_description,source,category
grilled chicken breast,restaurant menu,protein
fresh Atlantic salmon fillet,grocery store,seafood
organic baby spinach leaves,farmers market,vegetables
whole wheat pasta,pantry inventory,grains
extra virgin olive oil,kitchen stock,oils
Greek yogurt plain,refrigerator,dairy
ripe avocado,produce section,fruits
brown rice cooked,meal prep,grains
raw almonds unsalted,snack drawer,nuts
fresh broccoli florets,vegetable aisle,vegetables
lean ground beef 90%,meat counter,protein
cheddar cheese aged sharp,deli section,dairy
honey crisp apple,fruit bowl,fruits
quinoa cooked,grain bowl,grains
black beans canned,pantry,legumes
vine ripened tomatoes,garden harvest,vegetables
wild caught tuna steak,fish market,seafood
whole milk organic,dairy case,dairy
sweet potato baked,side dish,vegetables
peanut butter natural,spread station,nuts
fresh blueberries,berry patch,fruits
egg whites pasteurized,breakfast prep,protein
romaine lettuce hearts,salad bar,vegetables
sourdough bread slice,bakery,grains
coconut oil refined,cooking oils,oils
cottage cheese lowfat,dairy cooler,dairy
banana ripe medium,fruit stand,fruits
jasmine rice steamed,asian cuisine,grains
chickpeas cooked,hummus base,legumes
asparagus spears fresh,spring vegetables,vegetables
sockeye salmon smoked,deli,seafood
mozzarella fresh ball,italian section,dairy
strawberries fresh organic,berry section,fruits
oats rolled old fashioned,cereal aisle,grains
black olives pitted,mediterranean,vegetables
turkey breast deli sliced,lunch meat,protein
sour cream full fat,condiment section,dairy
mango fresh ripe,tropical fruits,fruits
lentils green cooked,soup ingredient,legumes
kale leaves raw,salad greens,vegetables
shrimp large peeled,seafood counter,seafood
parmesan cheese grated,italian cheese,dairy
orange navel fresh,citrus display,fruits
barley pearled cooked,grain salad,grains
red kidney beans,chili ingredient,legumes
cucumber sliced,salad topping,vegetables
pork tenderloin,meat section,protein
cream cheese whipped,bagel spread,dairy
raspberries fresh,berry mix,fruits
cauliflower florets raw,vegetable tray,vegetables
